"22";"0-02M";"0";"162";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"MARCO DE PESAS DE 1 A 1000 G. MARCA OHAUS";;;"243";"1.2.4.3.1.4";"I090000822";"0.00"
"23";"0-02O";"0";"201";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"OBJETIVO DE INMERSION MARCA ROSSBACH";;;"244";"1.2.4.3.1.5";"I060200999";"0.00"
"24";"0-02P";"0";"14";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"PALMER METALICO (TORNILLO MICROMETRICO) GRADUADO EN CENTIMETROS Y PULGADAS MARCA APSA Y STARRET";;;"242";"1.2.4.3.1.3";"I060600552";"0.00"
"25";"0-02R";"0";"211";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"RAMPA PARA TIRO HORIZONTAL (TIRO PARABOLICO) (APARATO DE COLISION) MARCA SARGENT WELCH";;;"242";"1.2.4.3.1.3";"I060200999";"0.00"
"26";"0-02V";"0";"94";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"VOLTIMETRO DE 3 ESCALAS (TODAS MARCAS)";;;"242";"1.2.4.3.1.3";"I060600600";"0.00"
"27";"0-03A";"0";"36";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"APARATO DE BERNOULLI MARCA CENCO";;;"242";"1.2.4.3.1.3";"I060200999";"0.00"
"28";"0-03B";"0";"162";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"BALANZA GRANATARIA MARCA OHAUS MODELO CENT O GRAM CAPACIDAD 311 G.";;;"243";"1.2.4.3.1.4";"I060600042";"0.00"
"29";"0-03C";"0";"36";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"CAMARA DE WILSON O DE CONDENSACION DE NIEBLA (SOLO MARCA CENCO)";;;"242";"1.2.4.3.1.3";"I060200999";"0.00"
"30";"0-03F";"0";"14";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"FUENTE DE PODER CD Y CA MARCA APSA";;;"242";"1.2.4.3.1.3";"I900000234";"0.00"
"31";"0-03G";"0";"36";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"GENERADOR DE CHISPA MARCA CENCO CATALOGO 73500 (VARIADORES DE TIEMPO)";;;"242";"1.2.4.3.1.3";"I060200999";"0.00"
"32";"0-03H";"0";"94";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"HIGROMETRO PARA HUMEDAD RELATIVA (CIRCULAR)";;;"242";"1.2.4.3.1.3";"I060600266";"0.00"
"33";"0-03I";"0";"27";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"INCUBADORA MARCA BLUE M.";;;"244";"1.2.4.3.1.5";"I060200336";"0.00"
"34";"0-03K";"0";"84";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"KIT DE ELECTRICIDAD FEINWERKTECHNIK";;;"242";"1.2.4.3.1.3";"I060200999";"0.00"
"35";"0-03L";"0";"183";"1";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"LAMPARA DE PROYECCION MARCA POLIZET -IV";;;"244";"1.2.4.3.1.5";"I060200999";"0.00"
"36";"0-03M";"0";"94";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"MARCO DE PESAS DE 5 A 100 G. CON GANCHO";;;"242";"1.2.4.3.1.3";"I090000822";"0.00"
"37";"0-03O";"0";"42";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"OJO GIGANTE ESCALA 6:1 DIMENS. 16X25 CMS,. MCA. CIVEQ ";NULL;NULL;"244";"1.2.4.3.1.5";"I120400046";"0.00"
"38";"0-03P";"0";"255";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"PARRILLA DE CALENTAMIENTO DE 15 X 15 CENTIMETROS  MODELO HP-1915B (INCLUSIVE CON PLACA DE PORCELANA)";NULL;NULL;"243";"1.2.4.3.1.4";"I060200999";"0.00"
"39";"0-03R";"0";"94";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"REOSTATO VARIABLE DE 50 OHMS. DE PERILLA";;;"242";"1.2.4.3.1.3";"I060200999";"0.00"
"40";"0-03T";"0";"94";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"TUBO DE VENTURI";;;"242";"1.2.4.3.1.3";"I060200999";"0.00"
"41";"0-04A";"0";"86";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"ANILLOS DE GRAVESANDE FISHER";;;"242";"1.2.4.3.1.3";"I060200999";"0.00"
"42";"0-04B";"0";"254";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"BOBINA TESLA CON TRANSFORMADOR DE ALTA TENSION";NULL;NULL;"243";"1.2.4.3.1.4";"I060200158";"0.00"
"43";"0-04C";"0";"277";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"CALENTADOR ELECTRICO DE INMERSION DE VARILLA MARCA VYCOR";;;"242";"1.2.4.3.1.3";"I060200999";"0.00"
"44";"0-04D";"0";"94";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"DISCO DE PROYECCION DEL MOVIMIENTO CIRCULAR";;;"242";"1.2.4.3.1.3";"I060200110";"0.00"
"45";"0-04E";"0";"200";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"ESTUFA ELECTRICA DE CULTIVO MARCA RIOSA";;;"244";"1.2.4.3.1.5";"I060600636";"0.00"
"46";"0-04F";"0";"200";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"ESTUFA ELÃ‰CTRICA DE CULTIVO ";NULL;NULL;"242";"1.2.4.3.1.3";"I090000234";"0.00"
"47";"0-04G";"0";"94";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"GRADILLA PARA TUBOS WINTROBE (SOLO PLANTEL 10)";;;"216";"1.2.4.3.1.4";"I060200999";"0.00"
"48";"0-04H";"0";"94";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"HORNO DE DESECADO";;;"244";"1.2.4.3.1.5";"I060600636";"0.00"
"49";"0-04I";"0";"94";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"INTERFEROMETRO DE MICHELLSON CONSTA: BASE Y CON-  JUNTO DE ESPEJOS,3 BRAZOS, 2 TUBOS CON ESPEJO, 8  ";;;"242";"1.2.4.3.1.3";"I060200490";"0.00"
"50";"0-04K";"0";"94";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"KIT DE INDUCCION ELECTROMAGNETICA (APARATO DE HERTZ) SOLO PLANTEL 3";;;"242";"1.2.4.3.1.3";"I060200999";"0.00"
"51";"0-04L";"0";"94";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"LAVADOR DE PIPETAS CON ASPIRADOR (SOLO PLANTEL 10 )";;;"242";"1.2.4.3.1.3";"I060200999";"0.00"
"52";"0-04M";"0";"166";"0";"0";"0";"0000-00-00 00:00:00";"0";"0000-00-00 00:00:00";"MICROSCOPIO BIOLOGICO MCA. OLYMPIA OPTICAL.";NULL;NULL;"244";"1.2.4.3.1.5";"I060400428";"0.00"
